index,true_label,KL_true,KL_best_wrong,best_wrong_class,KL_diff,correct_by_KL
0,7,0.0059642110830774725,4.672938441169036,9,4.666974230085958,True
1,2,0.013706210771847993,5.511430224387911,3,5.497724013616063,True
2,9,0.02836756257590717,4.492027490744141,4,4.463659928168234,True
3,8,5.276406400940588,1.3904249835398914,4,-3.8859814174006964,False
4,3,0.019623638920143006,4.672076519882983,8,4.65245288096284,True
5,9,0.025748093568876765,4.485678311550513,4,4.459930217981636,True
6,0,0.004030715818687142,6.758217276463633,5,6.754186560644945,True
7,7,0.01296525150261437,4.78165997618119,9,4.768694724678576,True
8,1,0.0060314647140679795,6.31529595303517,8,6.3092644883211015,True
9,4,0.01853744241236761,4.514371708849319,9,4.495834266436952,True
10,2,0.01095170256945079,5.500097782291935,3,5.489146079722484,True
11,2,0.011901424690992226,5.505572740421357,3,5.4936713157303645,True
12,6,0.0071288239435265965,5.994041631584955,5,5.986912807641429,True
13,7,0.012965287668956464,4.781660033254558,9,4.768694745585601,True
14,5,0.024093684230321755,4.881726686650142,3,4.85763300241982,True
15,7,0.012964638244781198,4.781658918639543,9,4.7686942803947625,True
16,8,5.144895204528495,0.022088793788214163,5,-5.122806410740281,False
17,0,0.0036112667391230754,6.756235324813064,5,6.75262405807394,True
18,4,0.017321079595550747,4.510864032316111,9,4.493542952720561,True
19,0,0.004031504005357003,6.758242723818229,5,6.7542112198128725,True
20,8,0.041357789297840675,4.546275323291359,3,4.504917533993518,True
21,2,0.013706890639440757,5.511431536360126,3,5.497724645720686,True
22,8,0.04141051744693916,4.897159804057269,3,4.85574928661033,True
23,1,0.005848515109870044,6.3147332104929355,8,6.308884695383066,True
24,2,0.013614874739756906,5.511180047159376,3,5.49756517241962,True
25,3,0.023888981447055247,4.699039050573067,8,4.675150069126011,True
26,4,0.1221451607228039,3.9702297717355703,9,3.8480846110127667,True
27,7,6.165545604094379,0.09325768609256188,4,-6.072287918001817,False
28,1,0.005864616588781933,6.314942309426498,8,6.309077692837716,True
29,0,0.004068375030760905,6.758333049147254,5,6.7542646741164925,True
30,8,4.486486765630639,0.03012664777639032,3,-4.456360117854249,False
31,6,0.007149822292669365,5.994087946027104,5,5.986938123734435,True
32,2,2.8262266740734048,1.5336833034002328,8,-1.292543370673172,False
33,3,1.3355209416742717,3.095268454076781,9,1.7597475124025093,True
34,2,0.013706858035885146,5.5114314834550555,3,5.4977246254191705,True
35,1,0.004891686078926261,6.296248219915054,8,6.291356533836128,True
36,6,0.007183177854978101,5.994160262784747,5,5.9869770849297685,True
37,2,0.013374666771512861,5.510335831637719,3,5.496961164866207,True
38,3,0.04464574851205802,4.608218858856903,8,4.563573110344845,True
39,2,0.012491181511355877,5.50664094937978,3,5.494149767868424,True
40,2,0.013699933821697166,5.511419856946858,3,5.497719923125161,True
